pool,task_name,task_instance_id,n_candidates,margin,selected_answer,unresolved_tie,selector_reward,oracle_over_candidates,plurality_reward_descriptive,reachable
phase2b,rare_disease_diagnosis,90,2,0.0023476124080258898,"{""disease_name"":""ARTHROGRYPOSIS, DISTAL, TYPE 2B"",""OMIM_ID"":""19942""}",False,0.0,0.0,0.0,False
phase2b,rare_disease_diagnosis,92,2,0.01051563577132375,"{""disease_name"":"""",""OMIM_ID"":""248700""}",False,0.0,0.0,0.0,False
phase2b,rare_disease_diagnosis,102,3,0.00025332881508211,"{""disease_name"":""Arthrogryposis, distal, with impaired proprioception and touch"",""OMIM_ID"":""617146""}",False,0.0,1.0,1.0,True
phase2b,rare_disease_diagnosis,140,2,0.006220249106312359,"{""disease_name"":""Arthrogryposis, distal, type 1A"",""OMIM_ID"":""108120""}",False,0.0,0.0,0.0,False
phase2b,screen_gene_retrieval,166,2,0.004002600939222278,HIST1H2AK,False,0.0,1.0,1.0,True
phase2b,screen_gene_retrieval,317,3,0.0012692337988040592,USP22,False,0.0,1.0,0.0,True
phase2b,screen_gene_retrieval,318,2,0.004666491523637628,PDCD4,False,0.0,0.0,0.0,False
phase2b,screen_gene_retrieval,346,2,0.0004781973747225443,NPIPB12,False,0.0,1.0,1.0,True
phase1_pooled,crispr_delivery,28,2,0.004619951757744545,f,False,0.0,1.0,1.0,True
phase1_pooled,gwas_causal_gene_gwas_catalog,27,3,0.0012126055026289162,SLC39A8,False,1.0,1.0,0.0,True
phase1_pooled,gwas_causal_gene_gwas_catalog,406,3,0.0007319205514406679,PAFAH1B2,False,0.0,0.0,0.0,False
phase1_pooled,gwas_causal_gene_gwas_catalog,520,2,0.0017163003141619781,GAS7,False,0.0,0.0,0.0,False
phase1_pooled,gwas_causal_gene_pharmaprojects,956,2,0.01158947510125019,TGFB1,False,0.0,0.0,0.0,False
phase1_pooled,gwas_causal_gene_pharmaprojects,1475,2,0.001481611181064435,XPO1,False,1.0,1.0,0.0,True
phase1_pooled,gwas_causal_gene_pharmaprojects,1554,2,0.004585052812453083,APEX1,False,0.0,0.0,0.0,False
phase1_pooled,gwas_variant_prioritization,1,2,0.0025331765435226417,rs247616,False,0.0,1.0,0.0,True
phase1_pooled,lab_bench_dbqa,190,2,0.03139743256525884,E,False,1.0,1.0,0.0,True
phase1_pooled,lab_bench_dbqa,309,2,0.01905360631234365,E,False,0.0,0.0,0.0,False
phase1_pooled,lab_bench_seqqa,230,2,0.0017005020954264927,E,False,0.0,0.0,0.0,False
phase1_pooled,lab_bench_seqqa,292,2,0.0006155291817862008,D,False,1.0,1.0,0.0,True
phase1_pooled,lab_bench_seqqa,547,2,0.004370531349114248,A,False,1.0,1.0,1.0,True
phase1_pooled,patient_gene_detection,1,3,0.004548446133883499,"{""causal_gene"":[""ENSG00000168000""]}",False,0.0,1.0,0.0,True
phase1_pooled,patient_gene_detection,80,2,0.0013201499464657318,"{""causal_gene"":[""ENSG00000105983""]}",False,1.0,1.0,1.0,True
phase1_pooled,patient_gene_detection,161,2,0.0010782344243401298,"{""causal_gene"":[""ENSG00000120008""]}",False,0.0,0.0,0.0,False
phase1_pooled,patient_gene_detection,350,2,0.004680834435184578,"{""causal_gene"":[""ENSG00000197563""]}",False,0.0,0.0,0.0,False
phase1_pooled,patient_gene_detection,488,3,0.001217288480882317,"{""causal_gene"":[""ENSG00000039650"",""ENSG00000197912"",""ENSG00000152217""]}",False,1.0,1.0,1.0,True
phase1_pooled,rare_disease_diagnosis,21,2,0.007730837016444114,"{""disease_name"":""Arthrogryposis, distal, type 2A (Freeman-Sheldon)"",""OMIM_ID"":""193700""}",False,1.0,1.0,0.0,True
phase1_pooled,rare_disease_diagnosis,59,3,0.0007133257305246277,"{""disease_name"":"""",""OMIM_ID"":""130020""}",False,0.0,0.0,0.0,False
phase1_pooled,rare_disease_diagnosis,103,2,0.0018554448739810936,"{""disease_name"":""Arthrogryposis, distal, type 5"",""OMIM_ID"":""108145""}",False,1.0,1.0,1.0,True
phase1_pooled,rare_disease_diagnosis,106,2,0.0011164211648698186,"{""disease_name"":""Marden-Walker syndrome"",""OMIM_ID"":""248700""}",False,0.0,1.0,1.0,True
phase1_pooled,screen_gene_retrieval,1,2,0.015056920055510903,DUSP10,False,0.0,0.0,0.0,False
phase1_pooled,screen_gene_retrieval,243,3,0.00018243426987674116,POLE2,False,0.0,1.0,1.0,True
phase1_pooled,screen_gene_retrieval,306,2,0.009300673588961583,DDX21,False,0.0,0.0,0.0,False
