task_name,task_instance_id,n_candidates,trivial,unresolved_tie,selected_answer,verifier_selected_reward,plurality_reward,oracle_reward
gwas_causal_gene_pharmaprojects,1538,1,True,False,KCNJ11,1.0,1.0,1.0
gwas_causal_gene_pharmaprojects,1662,2,False,False,SCN3A,1.0,0.0,1.0
gwas_variant_prioritization,14,2,False,False,rs10087900,1.0,1.0,1.0
gwas_variant_prioritization,21,1,True,False,rs4949874,1.0,1.0,1.0
gwas_variant_prioritization,52,1,True,False,rs7529794,0.0,0.0,0.0
gwas_variant_prioritization,54,1,True,False,rs4343,1.0,1.0,1.0
gwas_variant_prioritization,74,3,False,False,rs2366858,1.0,0.0,1.0
gwas_variant_prioritization,88,1,True,False,rs2160860,1.0,1.0,1.0
gwas_variant_prioritization,99,1,True,False,rs5030062,1.0,1.0,1.0
gwas_variant_prioritization,116,1,True,False,rs3738934,1.0,1.0,1.0
gwas_variant_prioritization,129,1,True,False,rs4814176,1.0,1.0,1.0
gwas_variant_prioritization,151,1,True,False,rs1171614,0.0,0.0,0.0
gwas_variant_prioritization,157,1,True,False,rs6511720,0.0,0.0,0.0
gwas_variant_prioritization,160,1,True,False,rs17279437,1.0,1.0,1.0
gwas_variant_prioritization,169,1,True,False,rs532545,1.0,1.0,1.0
gwas_variant_prioritization,188,2,False,False,rs6073958,1.0,0.0,1.0
gwas_variant_prioritization,202,1,True,False,rs2073547,1.0,1.0,1.0
lab_bench_dbqa,1,1,True,False,A,1.0,1.0,1.0
lab_bench_dbqa,49,1,True,False,B,1.0,1.0,1.0
lab_bench_dbqa,52,1,True,False,B,1.0,1.0,1.0
lab_bench_dbqa,161,1,True,False,A,1.0,1.0,1.0
lab_bench_dbqa,166,2,False,False,E,1.0,1.0,1.0
lab_bench_dbqa,205,1,True,False,C,1.0,1.0,1.0
lab_bench_dbqa,251,2,False,False,B,1.0,1.0,1.0
lab_bench_dbqa,259,1,True,False,A,1.0,1.0,1.0
lab_bench_dbqa,295,3,False,False,D,1.0,1.0,1.0
lab_bench_dbqa,339,3,False,False,A,1.0,0.0,1.0
lab_bench_dbqa,366,1,True,False,D,0.0,0.0,0.0
lab_bench_dbqa,387,2,False,False,A,1.0,1.0,1.0
lab_bench_dbqa,427,3,False,False,D,0.0,0.0,1.0
lab_bench_dbqa,477,1,True,False,A,1.0,1.0,1.0
lab_bench_dbqa,495,1,True,False,D,1.0,1.0,1.0
lab_bench_seqqa,32,1,True,False,E,1.0,1.0,1.0
lab_bench_seqqa,61,2,False,False,C,1.0,1.0,1.0
lab_bench_seqqa,62,2,False,False,C,1.0,1.0,1.0
lab_bench_seqqa,64,2,False,False,C,1.0,0.0,1.0
lab_bench_seqqa,98,1,True,False,E,1.0,1.0,1.0
lab_bench_seqqa,156,2,False,False,E,1.0,0.0,1.0
lab_bench_seqqa,200,0,False,False,,0.0,0.0,0.0
lab_bench_seqqa,213,0,False,False,,0.0,0.0,0.0
lab_bench_seqqa,215,0,False,False,,0.0,0.0,0.0
lab_bench_seqqa,260,0,False,False,,0.0,0.0,0.0
lab_bench_seqqa,267,1,True,False,D,1.0,1.0,1.0
lab_bench_seqqa,327,1,True,False,C,1.0,1.0,1.0
lab_bench_seqqa,471,1,True,False,E,1.0,1.0,1.0
lab_bench_seqqa,505,1,True,False,C,1.0,1.0,1.0
lab_bench_seqqa,583,1,True,False,B,1.0,1.0,1.0
patient_gene_detection,53,1,True,False,"{""causal_gene"":[""ENSG00000152700""]}",1.0,0.0,1.0
patient_gene_detection,91,1,True,False,"{""causal_gene"":[""ENSG00000162551""]}",1.0,1.0,1.0
patient_gene_detection,166,1,True,False,"{""causal_gene"":[""ENSG00000204386""]}",1.0,1.0,1.0
patient_gene_detection,201,1,True,False,"{""causal_gene"":[""ENSG00000185624"",""ENSG00000198799"",""ENSG00000075891"",""ENSG00000169397"",""ENSG00000185379"",""ENSG00000101200"",""ENSG00000169862"",""ENSG00000128567"",""ENSG00000157764"",""ENSG00000153956"",""ENSG00000106799"",""ENSG00000165704""]}",1.0,0.0,1.0
patient_gene_detection,263,1,True,False,"{""causal_gene"":[""ENSG00000148384""]}",1.0,1.0,1.0
patient_gene_detection,295,1,True,False,"{""causal_gene"":[""ENSG00000183072"",""ENSG00000070367"",""ENSG00000197535"",""ENSG00000284770"",""ENSG00000168291"",""ENSG00000100519"",""ENSG00000010704"",""ENSG00000107882"",""ENSG00000092054"",""ENSG00000177189""]}",1.0,1.0,1.0
patient_gene_detection,303,1,True,False,"{""causal_gene"":[""ENSG00000177189""]}",0.0,0.0,0.0
patient_gene_detection,309,3,False,False,"{""causal_gene"":[""ENSG00000111262"",""ENSG00000059573"",""ENSG00000012061"",""ENSG00000115234"",""ENSG00000084093""]}",1.0,1.0,1.0
patient_gene_detection,328,1,True,False,"{""causal_gene"":[""ENSG00000113924"",""ENSG00000006042"",""ENSG00000203782"",""ENSG00000115524"",""ENSG00000147155"",""ENSG00000008988"",""ENSG00000006016"",""ENSG00000101384"",""ENSG00000132170"",""ENSG00000067842"",""ENSG00000177465"",""ENSG00000176884"",""ENSG00000135636""]}",1.0,0.0,1.0
patient_gene_detection,345,2,False,False,"{""causal_gene"":[""ENSG00000184937""]}",0.0,0.0,0.0
patient_gene_detection,389,1,True,False,"{""causal_gene"":[""ENSG00000143669""]}",1.0,1.0,1.0
patient_gene_detection,457,1,True,False,"{""causal_gene"":[""ENSG00000137700""]}",1.0,0.0,1.0
patient_gene_detection,480,1,True,False,"{""causal_gene"":[""ENSG00000101384""]}",1.0,1.0,1.0
patient_gene_detection,486,1,True,False,"{""causal_gene"":[""ENSG00000075624""]}",1.0,0.0,1.0
patient_gene_detection,492,2,False,False,"{""causal_gene"":[""ENSG00000060237""]}",1.0,0.0,1.0
screen_gene_retrieval,21,2,False,False,RNF7,1.0,0.0,1.0
screen_gene_retrieval,58,2,False,False,ID1,0.0,0.0,0.0
screen_gene_retrieval,105,1,True,False,MORF4L1,0.0,0.0,0.0
screen_gene_retrieval,174,3,False,False,BEND3,1.0,1.0,1.0
screen_gene_retrieval,187,1,True,False,ACE2,1.0,1.0,1.0
screen_gene_retrieval,190,2,False,False,KEAP1,1.0,1.0,1.0
screen_gene_retrieval,201,2,False,False,USP2,0.0,1.0,1.0
screen_gene_retrieval,207,3,False,False,DPY30,0.0,0.0,0.0
screen_gene_retrieval,235,2,False,False,FBL,0.0,1.0,1.0
screen_gene_retrieval,241,1,True,False,SLC16A14,0.0,0.0,0.0
screen_gene_retrieval,263,2,False,False,FGFR1,0.0,1.0,1.0
screen_gene_retrieval,264,1,True,False,ARF1,1.0,1.0,1.0
screen_gene_retrieval,269,2,False,False,CHD8,0.0,0.0,0.0
screen_gene_retrieval,313,1,True,False,ACE2,1.0,1.0,1.0
screen_gene_retrieval,342,1,True,False,NFKB2,0.0,0.0,0.0
