pool,task_name,task_instance_id,n_candidates,n_complete,picks,majority_answer,majority_status,n_off_menu,reward,peak_input_tokens_max,any_runaway,any_hard_budget_hit,plurality_reward,oracle_reward
phase2b,gwas_causal_gene_opentargets,47,2,3,"['IL13', 'IL13', 'IL13']",IL13,majority,0,0.0,29895,True,False,0.0,0.0
phase2b,gwas_causal_gene_opentargets,397,2,3,"['RREB1', 'RREB1', 'RREB1']",RREB1,majority,0,1.0,18128,True,False,1.0,1.0
phase2b,gwas_causal_gene_opentargets,612,2,3,"[nan, 'PAM', 'PAM']",PAM,majority,1,1.0,24031,True,False,1.0,1.0
phase2b,gwas_causal_gene_opentargets,690,2,3,"['CYP2E1', 'PAOX', nan]",,no_majority,1,0.0,26860,False,False,0.0,1.0
phase2b,gwas_causal_gene_pharmaprojects,509,2,3,"['GNMT', 'GNMT', 'GNMT']",GNMT,majority,0,0.0,26662,True,False,1.0,1.0
phase1_pooled,gwas_causal_gene_pharmaprojects,956,2,2,"['CYP2A6', None, 'TGFB1']",,no_majority,0,0.0,39190,True,False,0.0,0.0
phase2b,gwas_causal_gene_pharmaprojects,1300,2,3,"['DRD2', 'DRD2', 'HTR3A']",DRD2,majority,0,1.0,19671,True,False,0.0,1.0
phase2b,gwas_causal_gene_pharmaprojects,1463,2,2,"['CCR7', None, 'CCR7']",CCR7,majority,0,0.0,35274,True,False,0.0,0.0
phase1_pooled,gwas_causal_gene_pharmaprojects,1475,2,3,"['XPO1', nan, 'COMMD1']",,no_majority,1,0.0,30612,True,False,1.0,1.0
phase1_pooled,gwas_causal_gene_pharmaprojects,1554,2,3,"['APEX1', 'PNP', 'TTC5']",,no_majority,1,0.0,17314,True,False,0.0,0.0
phase2b,gwas_causal_gene_pharmaprojects,1640,2,3,"['IL4R', 'IL4R', 'IL21R']",IL4R,majority,0,1.0,17375,True,False,0.0,1.0
phase2b,gwas_causal_gene_pharmaprojects,1645,3,2,"['CCHCR1', 'CCHCR1', None]",CCHCR1,majority,0,0.0,20952,True,False,0.0,0.0
phase1_pooled,gwas_variant_prioritization,1,2,3,"['rs9637599', 'rs9637599', nan]",rs9637599,majority,1,1.0,20656,True,False,1.0,1.0
phase2b,gwas_variant_prioritization,37,2,2,"[None, nan, nan]",,all_missing,2,0.0,16729,True,False,1.0,1.0
phase2b,gwas_variant_prioritization,87,2,1,"[nan, None, None]",,all_missing,1,0.0,37471,True,False,0.0,0.0
phase2b,gwas_variant_prioritization,102,2,2,"['rs2160387', nan, None]",,no_majority,1,0.0,34854,True,False,0.0,0.0
phase2b,gwas_variant_prioritization,121,2,3,"[nan, nan, 'rs10455872']",,no_majority,2,0.0,15970,True,False,1.0,1.0
phase2b,gwas_variant_prioritization,130,2,2,"[nan, nan, None]",,all_missing,2,0.0,34517,True,False,0.0,0.0
phase2b,lab_bench_dbqa,80,2,3,"['B', 'B', 'B']",B,majority,0,1.0,13091,True,False,1.0,1.0
phase1_pooled,lab_bench_dbqa,190,2,3,"['E', 'E', 'E']",E,majority,0,1.0,13124,True,False,1.0,1.0
phase2b,lab_bench_dbqa,269,2,3,"['B', 'B', 'B']",B,majority,0,1.0,28362,True,False,1.0,1.0
phase1_pooled,lab_bench_dbqa,309,2,3,"['B', 'A', 'E']",,no_majority,1,0.0,17864,True,False,0.0,0.0
phase2b,lab_bench_dbqa,315,2,3,"['B', 'A', 'A']",A,majority,1,1.0,22249,False,False,1.0,1.0
phase2b,lab_bench_dbqa,345,2,3,"['C', 'D', 'C']",C,majority,0,0.0,28930,False,False,1.0,1.0
phase2b,lab_bench_dbqa,350,2,3,"['B', 'B', 'B']",B,majority,0,1.0,24371,True,False,0.0,1.0
phase2b,lab_bench_dbqa,430,2,1,"[None, 'C', None]",,all_missing,1,0.0,35330,True,False,0.0,1.0
phase2b,lab_bench_seqqa,27,3,2,"['C', 'A', None]",,no_majority,0,0.0,24624,True,False,0.0,1.0
phase1_pooled,lab_bench_seqqa,230,2,1,"[None, 'E', None]",,no_majority,0,0.0,34384,True,False,0.0,0.0
phase1_pooled,lab_bench_seqqa,292,2,3,"['D', 'D', 'D']",D,majority,0,1.0,13149,True,False,1.0,1.0
phase1_pooled,lab_bench_seqqa,547,2,3,"['A', 'A', 'A']",A,majority,0,1.0,13641,True,False,1.0,1.0
phase1_pooled,patient_gene_detection,1,3,2,"['{""causal_gene"":[""ENSG00000173801""]}', None, '{""causal_gene"":[""ENSG00000173801""]}']","{""causal_gene"":[""ENSG00000173801""]}",majority,0,1.0,38537,True,False,1.0,1.0
phase2b,patient_gene_detection,34,3,3,"['{""causal_gene"":[""ENSG00000155657""]}', '{""causal_gene"":[""ENSG00000171714""]}', '{""causal_gene"":[""ENSG00000103449""]}']",,no_majority,1,0.0,26760,True,False,0.0,1.0
phase2b,patient_gene_detection,49,2,2,"['{""causal_gene"":[""ENSG00000171302""]}', '{""causal_gene"":[""ENSG00000080819""]}', None]",,no_majority,1,0.0,36203,True,False,1.0,1.0
phase1_pooled,patient_gene_detection,80,2,1,"['{""causal_gene"":[""ENSG00000105983""]}', None, None]",,no_majority,0,0.0,35822,True,False,1.0,1.0
phase2b,patient_gene_detection,88,3,1,"[None, '{""causal_gene"":[""ENSG00000101115""]}', None]",,no_majority,0,0.0,36860,True,False,0.0,0.0
phase1_pooled,patient_gene_detection,161,2,2,"['{""causal_gene"":[""ENSG00000139687""]}', '{""causal_gene"":[""ENSG00000120008""]}', None]",,no_majority,0,0.0,36186,True,False,0.0,0.0
phase2b,patient_gene_detection,205,2,2,"[None, '{""causal_gene"":[""ENSG00000139219""]}', '{""causal_gene"":[""ENSG00000139219""]}']","{""causal_gene"":[""ENSG00000139219""]}",majority,0,1.0,36265,True,False,1.0,1.0
phase2b,patient_gene_detection,251,3,2,"['{""causal_gene"":[""ENSG00000120457""]}', None, '{""causal_gene"":[""ENSG00000120457""]}']","{""causal_gene"":[""ENSG00000120457""]}",majority,0,0.0,36050,True,False,1.0,1.0
phase2b,patient_gene_detection,259,4,2,"['{""causal_gene"":[""ENSG00000138759""]}', None, '{""causal_gene"":[""ENSG00000103494""]}']",,no_majority,0,0.0,34897,True,False,0.0,0.0
phase2b,patient_gene_detection,264,2,3,"['{""causal_gene"":[""ENSG00000102081""]}', '{""causal_gene"":[""ENSG00000204248""]}', '{""causal_gene"":[""ENSG00000102081""]}']","{""causal_gene"":[""ENSG00000102081""]}",majority,1,1.0,25582,True,False,1.0,1.0
phase2b,patient_gene_detection,306,2,1,"[None, None, '{""causal_gene"":[""ENSG00000129757""]}']",,no_majority,0,0.0,37932,True,False,0.0,0.0
phase2b,patient_gene_detection,319,3,1,"['{""causal_gene"":[""ENSG00000168610""]}', None, None]",,all_missing,1,0.0,36204,True,False,1.0,1.0
phase2b,patient_gene_detection,339,3,2,"['{""causal_gene"":[""ENSG00000130707""]}', None, '{""causal_gene"":[""ENSG00000130707""]}']","{""causal_gene"":[""ENSG00000130707""]}",majority,0,1.0,36430,True,False,0.0,1.0
phase1_pooled,patient_gene_detection,350,2,3,"['{""causal_gene"":[""ENSG00000187498""]}', '{""causal_gene"":[""ENSG00000187498""]}', '{""causal_gene"":[""ENSG00000187498""]}']","{""causal_gene"":[""ENSG00000187498""]}",majority,0,0.0,26370,True,False,0.0,0.0
phase2b,patient_gene_detection,401,4,3,"['{""causal_gene"":[""ENSG00000103313""]}', '{""causal_gene"":[""ENSG00000168769""]}', '{""causal_gene"":[""ENSG00000168769""]}']","{""causal_gene"":[""ENSG00000168769""]}",majority,0,1.0,22293,True,False,1.0,1.0
phase2b,patient_gene_detection,419,2,2,"['{""causal_gene"":[""ENSG00000054983""]}', None, '{""causal_gene"":[""ENSG00000054983""]}']","{""causal_gene"":[""ENSG00000054983""]}",majority,0,1.0,34827,True,False,0.0,1.0
phase2b,patient_gene_detection,482,2,2,"['{""causal_gene"":[""ENSG00000169359""]}', '{""causal_gene"":[""ENSG00000125779""]}', None]",,no_majority,0,0.0,33962,True,False,0.0,1.0
phase1_pooled,patient_gene_detection,488,3,1,"[None, '{""causal_gene"":[""ENSG00000197912"",""ENSG00000152217"",""ENSG00000166949"",""ENSG00000039650""]}', None]",,all_missing,1,0.0,36522,True,False,0.0,1.0
phase2b,rare_disease_diagnosis,1,2,3,"['{""disease_name"":""Freeman-Sheldon syndrome"",""OMIM_ID"":""193700""}', '{""disease_name"":""Congenital contractures of the limbs and face, hypotonia, and developmental delay"",""OMIM_ID"":""616266""}', '{""disease_name"":""Congenital contractures of the limbs and face, hypotonia, and developmental delay"",""OMIM_ID"":""616266""}']","{""disease_name"":""Congenital contractures of the limbs and face, hypotonia, and developmental delay"",""OMIM_ID"":""616266""}",majority,0,1.0,25353,True,False,1.0,1.0
phase2b,rare_disease_diagnosis,20,2,3,"['{""disease_name"":""Freeman-Sheldon syndrome"",""OMIM_ID"":""193700""}', '{""disease_name"":""Freeman-Sheldon syndrome"",""OMIM_ID"":""193700""}', '{""disease_name"":""Freeman-Sheldon syndrome"",""OMIM_ID"":""193700""}']","{""disease_name"":""Freeman-Sheldon syndrome"",""OMIM_ID"":""193700""}",majority,0,1.0,31694,True,False,0.0,1.0
phase1_pooled,rare_disease_diagnosis,21,2,3,"['{""disease_name"":"""",""OMIM_ID"":""193700""}', '{""disease_name"":""Arthrogryposis, distal, type 2A (Freeman-Sheldon)"",""OMIM_ID"":""193700""}', '{""disease_name"":""Arthrogryposis, distal, type 2A (Freeman-Sheldon)"",""OMIM_ID"":""193700""}']","{""disease_name"":""Arthrogryposis, distal, type 2A (Freeman-Sheldon)"",""OMIM_ID"":""193700""}",majority,1,1.0,16836,True,False,1.0,1.0
phase1_pooled,rare_disease_diagnosis,59,3,3,"['{""disease_name"":""Left ventricular noncompaction 4"",""OMIM_ID"":""613424""}', '{""disease_name"":"""",""OMIM_ID"":""612794""}', '{""disease_name"":""Atrial septal defect 5"",""OMIM_ID"":""612794""}']",,no_majority,2,0.0,22356,True,False,0.0,0.0
phase2b,rare_disease_diagnosis,88,2,3,"['{""disease_name"":""Arthrogryposis, distal, with impaired proprioception and touch"",""OMIM_ID"":""617146""}', '{""disease_name"":"""",""OMIM_ID"":""108145""}', '{""disease_name"":""Distal arthrogryposis type 5"",""OMIM_ID"":""108145""}']",,no_majority,1,0.0,23179,True,False,0.0,0.0
phase2b,rare_disease_diagnosis,90,2,3,"['{""disease_name"":""Arthrogryposis, distal, type 5"",""OMIM_ID"":""108145""}', '{""disease_name"":"""",""OMIM_ID"":""108145""}', '{""disease_name"":""Arthrogryposis, distal, type 5"",""OMIM_ID"":""108145""}']",,no_majority,2,0.0,29658,True,False,0.0,0.0
phase2b,rare_disease_diagnosis,92,2,2,"['{""disease_name"":""Marden-Walker syndrome"",""OMIM_ID"":""248700""}', '{""disease_name"":""Marden-Walker syndrome"",""OMIM_ID"":""248700""}', None]",,all_missing,2,0.0,39233,True,False,0.0,0.0
phase2b,rare_disease_diagnosis,102,3,1,"['{""disease_name"":""Arthrogryposis, distal, type 5"",""OMIM_ID"":""108145""}', None, None]",,all_missing,1,0.0,33839,True,False,0.0,1.0
phase1_pooled,rare_disease_diagnosis,103,2,2,"[None, '{""disease_name"":""Arthrogryposis, distal, type 5"",""OMIM_ID"":""108145""}', '{""disease_name"":""Arthrogryposis, distal, type 5"",""OMIM_ID"":""108145""}']","{""disease_name"":""Arthrogryposis, distal, type 5"",""OMIM_ID"":""108145""}",majority,0,1.0,34179,True,False,1.0,1.0
phase1_pooled,rare_disease_diagnosis,106,2,3,"['{""disease_name"":""Distal arthrogryposis type 5"",""OMIM_ID"":""108145""}', '{""disease_name"":"""",""OMIM_ID"":""108145""}', '{""disease_name"":""Marden-Walker syndrome"",""OMIM_ID"":""248700""}']",,no_majority,1,0.0,22428,True,False,1.0,1.0
phase2b,rare_disease_diagnosis,140,2,3,"['{""disease_name"":""Arthrogryposis, distal, type 1A"",""OMIM_ID"":""108120""}', '{""disease_name"":""Arthrogryposis, distal, type 1A"",""OMIM_ID"":""108120""}', '{""disease_name"":"""",""OMIM_ID"":""108120""}']","{""disease_name"":""Arthrogryposis, distal, type 1A"",""OMIM_ID"":""108120""}",majority,1,0.0,28504,True,False,0.0,0.0
phase1_pooled,screen_gene_retrieval,1,2,2,"[nan, None, nan]",,all_missing,2,0.0,33025,True,False,0.0,0.0
phase2b,screen_gene_retrieval,166,2,3,"[nan, 'HIST1H2AK', nan]",,no_majority,2,0.0,22769,True,False,0.0,1.0
phase1_pooled,screen_gene_retrieval,243,3,1,"[None, None, 'POLE2']",,no_majority,0,0.0,36729,True,False,1.0,1.0
phase1_pooled,screen_gene_retrieval,306,2,2,"['DDX21', None, nan]",,no_majority,1,0.0,37132,True,False,0.0,0.0
phase2b,screen_gene_retrieval,317,3,2,"['FSIP1', None, nan]",,no_majority,1,0.0,36719,True,False,1.0,1.0
phase2b,screen_gene_retrieval,318,2,2,"['PDCD4', None, nan]",,no_majority,1,0.0,31995,True,False,0.0,0.0
phase2b,screen_gene_retrieval,346,2,3,"['IRF8', nan, 'IRF8']",IRF8,majority,1,1.0,22761,True,False,0.0,1.0
