pool,task_name,task_instance_id,n_candidates,picks,majority_answer,majority_status,n_unresolved,reward,plurality_reward,oracle_reward
phase2b,lab_bench_dbqa,430,2,"[None, None, None]",,all_missing,3,0.0,0.0,1.0
phase2b,lab_bench_seqqa,27,3,"[None, None, None]",,all_missing,3,0.0,0.0,1.0
phase2b,patient_gene_detection,34,3,"['{""causal_gene"":[""ENSG00000155657""]}', '{""causal_gene"":[""ENSG00000155657""]}', None]","{""causal_gene"":[""ENSG00000155657""]}",majority,1,0.0,0.0,1.0
phase2b,patient_gene_detection,49,2,"['{""causal_gene"":[""ENSG00000171302""]}', None, '{""causal_gene"":[""ENSG00000171302""]}']","{""causal_gene"":[""ENSG00000171302""]}",majority,1,1.0,1.0,1.0
phase2b,patient_gene_detection,88,3,"[None, '{""causal_gene"":[""ENSG00000101115""]}', '{""causal_gene"":[""ENSG00000101115""]}']","{""causal_gene"":[""ENSG00000101115""]}",majority,1,0.0,0.0,0.0
phase2b,patient_gene_detection,205,2,"['{""causal_gene"":[""ENSG00000139219""]}', '{""causal_gene"":[""ENSG00000139219""]}', '{""causal_gene"":[""ENSG00000139219""]}']","{""causal_gene"":[""ENSG00000139219""]}",majority,0,1.0,1.0,1.0
phase2b,patient_gene_detection,251,3,"[None, '{""causal_gene"":[""ENSG00000179142""]}', '{""causal_gene"":[""ENSG00000120457""]}']",,no_majority,1,0.0,1.0,1.0
phase2b,patient_gene_detection,259,4,"['{""causal_gene"":[""ENSG00000103494""]}', None, None]",,no_majority,2,0.0,0.0,0.0
phase2b,patient_gene_detection,264,2,"['{""causal_gene"":[""ENSG00000102081""]}', '{""causal_gene"":[""ENSG00000102081""]}', '{""causal_gene"":[""ENSG00000102081""]}']","{""causal_gene"":[""ENSG00000102081""]}",majority,0,1.0,1.0,1.0
phase2b,patient_gene_detection,306,2,"[None, '{""causal_gene"":[""ENSG00000129757""]}', '{""causal_gene"":[""ENSG00000129757""]}']","{""causal_gene"":[""ENSG00000129757""]}",majority,1,0.0,0.0,0.0
phase2b,patient_gene_detection,319,3,"['{""causal_gene"":[""ENSG00000102580""]}', '{""causal_gene"":[""ENSG00000164818""]}', '{""causal_gene"":[""ENSG00000102580""]}']","{""causal_gene"":[""ENSG00000102580""]}",majority,0,1.0,1.0,1.0
phase2b,patient_gene_detection,339,3,"[None, '{""causal_gene"":[""ENSG00000197563""]}', '{""causal_gene"":[""ENSG00000197563""]}']","{""causal_gene"":[""ENSG00000197563""]}",majority,1,0.0,0.0,1.0
phase2b,patient_gene_detection,401,4,"['{""causal_gene"":[""ENSG00000168769""]}', '{""causal_gene"":[""ENSG00000103313""]}', '{""causal_gene"":[""ENSG00000168769""]}']","{""causal_gene"":[""ENSG00000168769""]}",majority,0,1.0,1.0,1.0
phase2b,patient_gene_detection,419,2,"[None, '{""causal_gene"":[""ENSG00000054983""]}', None]",,no_majority,2,0.0,0.0,1.0
phase2b,patient_gene_detection,482,2,"['{""causal_gene"":[""ENSG00000125779""]}', '{""causal_gene"":[""ENSG00000125779""]}', '{""causal_gene"":[""ENSG00000169359""]}']","{""causal_gene"":[""ENSG00000125779""]}",majority,0,1.0,0.0,1.0
phase2b,rare_disease_diagnosis,1,2,"['{""disease_name"":""Freeman-Sheldon syndrome"",""OMIM_ID"":""193700""}', '{""disease_name"":""Freeman-Sheldon syndrome"",""OMIM_ID"":""193700""}', '{""disease_name"":""Congenital contractures of the limbs and face, hypotonia, and developmental delay"",""OMIM_ID"":""616266""}']","{""disease_name"":""Freeman-Sheldon syndrome"",""OMIM_ID"":""193700""}",majority,0,0.0,1.0,1.0
phase2b,rare_disease_diagnosis,20,2,"['{""disease_name"":"""",""OMIM_ID"":""178110""}', '{""disease_name"":"""",""OMIM_ID"":""178110""}', None]","{""disease_name"":"""",""OMIM_ID"":""178110""}",majority,1,0.0,0.0,1.0
phase2b,rare_disease_diagnosis,88,2,"['{""disease_name"":""Arthrogryposis, distal, with impaired proprioception and touch"",""OMIM_ID"":""617146""}', '{""disease_name"":""Arthrogryposis, distal, with impaired proprioception and touch"",""OMIM_ID"":""617146""}', '{""disease_name"":""Arthrogryposis, distal, with impaired proprioception and touch"",""OMIM_ID"":""617146""}']","{""disease_name"":""Arthrogryposis, distal, with impaired proprioception and touch"",""OMIM_ID"":""617146""}",majority,0,0.0,0.0,0.0
phase2b,rare_disease_diagnosis,90,2,"['{""disease_name"":"""",""OMIM_ID"":""108145""}', '{""disease_name"":""ARTHROGRYPOSIS, DISTAL, TYPE 2B"",""OMIM_ID"":""19942""}', '{""disease_name"":""ARTHROGRYPOSIS, DISTAL, TYPE 2B"",""OMIM_ID"":""19942""}']","{""disease_name"":""ARTHROGRYPOSIS, DISTAL, TYPE 2B"",""OMIM_ID"":""19942""}",majority,0,0.0,0.0,0.0
phase2b,rare_disease_diagnosis,92,2,"['{""disease_name"":"""",""OMIM_ID"":""108145""}', '{""disease_name"":"""",""OMIM_ID"":""108145""}', '{""disease_name"":"""",""OMIM_ID"":""108145""}']","{""disease_name"":"""",""OMIM_ID"":""108145""}",majority,0,0.0,0.0,0.0
phase2b,rare_disease_diagnosis,102,3,"['{""disease_name"":""Congenital distal arthrogryposis type 1"",""OMIM_ID"":""102980""}', '{""disease_name"":""Congenital distal arthrogryposis type 1"",""OMIM_ID"":""102980""}', '{""disease_name"":""Arthrogryposis, distal, with impaired proprioception and touch"",""OMIM_ID"":""617146""}']","{""disease_name"":""Congenital distal arthrogryposis type 1"",""OMIM_ID"":""102980""}",majority,0,0.0,0.0,1.0
phase2b,rare_disease_diagnosis,140,2,"['{""disease_name"":""Arthrogryposis, distal, type 1A"",""OMIM_ID"":""108120""}', '{""disease_name"":""Arthrogryposis, distal, type 1A"",""OMIM_ID"":""108120""}', '{""disease_name"":""Arthrogryposis, distal, type 1A"",""OMIM_ID"":""108120""}']","{""disease_name"":""Arthrogryposis, distal, type 1A"",""OMIM_ID"":""108120""}",majority,0,0.0,0.0,0.0
phase2b,screen_gene_retrieval,166,2,"['HIST1H2AK', 'HIST1H2AK', 'HIST1H2AK']",HIST1H2AK,majority,0,0.0,0.0,1.0
phase2b,screen_gene_retrieval,317,3,"['USP22', 'USP22', 'NAA10']",USP22,majority,0,0.0,1.0,1.0
phase2b,screen_gene_retrieval,318,2,"['TRIT1', 'PDCD4', 'PDCD4']",PDCD4,majority,0,0.0,0.0,0.0
phase2b,screen_gene_retrieval,346,2,"['IRF8', 'IRF8', 'IRF8']",IRF8,majority,0,1.0,0.0,1.0
phase1_pooled,crispr_delivery,28,2,"['f', 'f', 'f']",f,majority,0,0.0,1.0,1.0
phase1_pooled,gwas_causal_gene_gwas_catalog,27,3,"['SLC39A8', 'SLC39A8', 'SLC39A8']",SLC39A8,majority,0,1.0,1.0,1.0
phase1_pooled,gwas_causal_gene_gwas_catalog,406,3,"['PCSK7', 'PAFAH1B2', 'PAFAH1B2']",PAFAH1B2,majority,0,0.0,0.0,0.0
phase1_pooled,gwas_causal_gene_gwas_catalog,520,2,"['CFAP52', 'CFAP52', None]",CFAP52,majority,1,0.0,0.0,0.0
phase1_pooled,gwas_causal_gene_pharmaprojects,956,2,"['TGFB1', 'TGFB1', 'CYP2A6']",TGFB1,majority,0,0.0,0.0,0.0
phase1_pooled,gwas_causal_gene_pharmaprojects,1475,2,"['XPO1', 'XPO1', 'XPO1']",XPO1,majority,0,1.0,1.0,1.0
phase1_pooled,gwas_causal_gene_pharmaprojects,1554,2,"['APEX1', 'APEX1', 'APEX1']",APEX1,majority,0,0.0,0.0,0.0
phase1_pooled,gwas_variant_prioritization,1,2,"['rs247616', 'rs247616', 'rs247616']",rs247616,majority,0,0.0,1.0,1.0
phase1_pooled,lab_bench_dbqa,190,2,"['E', None, 'D']",,no_majority,1,0.0,1.0,1.0
phase1_pooled,lab_bench_dbqa,309,2,"[None, None, None]",,all_missing,3,0.0,0.0,0.0
phase1_pooled,lab_bench_seqqa,230,2,"[None, None, 'E']",,no_majority,2,0.0,0.0,0.0
phase1_pooled,lab_bench_seqqa,292,2,"['D', None, None]",,no_majority,2,0.0,1.0,1.0
phase1_pooled,lab_bench_seqqa,547,2,"[None, None, None]",,all_missing,3,0.0,1.0,1.0
phase1_pooled,patient_gene_detection,1,3,"[None, '{""causal_gene"":[""ENSG00000173801""]}', None]",,no_majority,2,0.0,1.0,1.0
phase1_pooled,patient_gene_detection,80,2,"[None, None, None]",,all_missing,3,0.0,1.0,1.0
phase1_pooled,patient_gene_detection,161,2,"['{""causal_gene"":[""ENSG00000139687""]}', '{""causal_gene"":[""ENSG00000139687""]}', '{""causal_gene"":[""ENSG00000120008""]}']","{""causal_gene"":[""ENSG00000139687""]}",majority,0,0.0,0.0,0.0
phase1_pooled,patient_gene_detection,350,2,"['{""causal_gene"":[""ENSG00000187498""]}', None, '{""causal_gene"":[""ENSG00000187498""]}']","{""causal_gene"":[""ENSG00000187498""]}",majority,1,0.0,0.0,0.0
phase1_pooled,patient_gene_detection,488,3,"[None, None, None]",,all_missing,3,0.0,0.0,1.0
phase1_pooled,rare_disease_diagnosis,21,2,"[None, '{""disease_name"":""Arthrogryposis, distal, type 2A (Freeman-Sheldon)"",""OMIM_ID"":""193700""}', '{""disease_name"":"""",""OMIM_ID"":""178110""}']",,no_majority,1,0.0,1.0,1.0
phase1_pooled,rare_disease_diagnosis,59,3,"['{""disease_name"":""Atrial septal defect 5"",""OMIM_ID"":""612794""}', '{""disease_name"":""Atrial septal defect 5"",""OMIM_ID"":""612794""}', '{""disease_name"":""Atrial septal defect 5"",""OMIM_ID"":""612794""}']","{""disease_name"":""Atrial septal defect 5"",""OMIM_ID"":""612794""}",majority,0,0.0,0.0,0.0
phase1_pooled,rare_disease_diagnosis,103,2,"['{""disease_name"":""Arthrogryposis, distal, with impaired proprioception and touch"",""OMIM_ID"":""617146""}', '{""disease_name"":""Arthrogryposis, distal, with impaired proprioception and touch"",""OMIM_ID"":""617146""}', '{""disease_name"":""Arthrogryposis, distal, type 5"",""OMIM_ID"":""108145""}']","{""disease_name"":""Arthrogryposis, distal, with impaired proprioception and touch"",""OMIM_ID"":""617146""}",majority,0,0.0,1.0,1.0
phase1_pooled,rare_disease_diagnosis,106,2,"['{""disease_name"":""Marden-Walker syndrome"",""OMIM_ID"":""248700""}', '{""disease_name"":""Marden-Walker syndrome"",""OMIM_ID"":""248700""}', None]","{""disease_name"":""Marden-Walker syndrome"",""OMIM_ID"":""248700""}",majority,1,0.0,1.0,1.0
phase1_pooled,screen_gene_retrieval,1,2,"['DUSP10', 'DUSP10', 'DUSP10']",DUSP10,majority,0,0.0,0.0,0.0
phase1_pooled,screen_gene_retrieval,243,3,"['POLE2', 'MPP1', 'MPP1']",MPP1,majority,0,0.0,1.0,1.0
phase1_pooled,screen_gene_retrieval,306,2,"['NUP107', 'NUP107', 'DDX21']",NUP107,majority,0,0.0,0.0,0.0
